,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyrate,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,remotework,salary
290,No,non-travel,556.26,Sales,20,Bachelor,Life Sciences,291,4,Female,69.53,3,2,Sales executive,3,Single,11681.39,1,No,14,3.0,4,Part Time,0,7.0,2,3.0,7,,0,7,1996,No,53914.11
291,No,non-travel,1032.49,Sales,6,Bachelor,Medical,292,4,Female,129.06,2,3,Sales executive,4,Single,21682.23,6,No,12,3.0,4,Part Time,0,23.0,2,3.0,19,,12,8,1978,Yes,100071.84
292,No,non-travel,1032.49,Sales,1,Bachelor,,293,3,Female,,3,3,Sales executive,3,Single,21682.23,1,No,14,3.0,1,Part Time,0,10.0,3,4.0,10,,0,8,1988,Yes,100071.84
293,Yes,travel_rarely,290.04,Research & Development,2,Professional Certification,,294,1,Female,,3,1,Laboratory technician,1,Unknown,6090.75,7,No,20,,1,Part Time,0,13.0,3,4.0,9,,1,7,1990,Yes,28111.13
294,No,non-travel,1973.98,Unknown,2,Masters,Life Sciences,295,1,Male,,2,5,Manager,3,Unknown,41453.67,1,Yes,18,3.0,4,Full Time,0,33.0,2,4.0,33,,15,12,1971,Yes,191324.62
295,No,non-travel,2005.3,Research & Development,2,Professional Certification,Medical,296,1,Male,,3,5,Research director,3,Unknown,42111.33,0,No,19,3.0,4,Full Time,1,,5,3.0,21,,3,9,1983,Yes,194360.0
296,No,non-travel,556.26,Sales,2,Professional Certification,Life Sciences,297,4,Male,69.53,2,2,Sales executive,4,Unknown,11681.39,3,No,18,3.0,4,Part Time,1,13.0,0,3.0,8,,7,5,1985,Yes,53914.11
297,No,non-travel,1582.77,Unknown,27,Bachelor,,298,2,Female,197.85,1,4,Manager,2,Married,33238.2,3,Yes,12,3.0,2,Full Time,1,28.0,2,2.0,7,,7,7,1977,No,153407.07
298,No,travel_rarely,1582.77,Research & Development,20,Professional Certification,Medical,299,3,Male,,3,4,Healthcare representative,4,Married,33238.2,0,Yes,14,3.0,2,,0,21.0,2,3.0,20,,4,10,1978,Yes,153407.07
299,Yes,non-travel,1032.49,Unknown,10,Masters,Life Sciences,300,1,Male,,3,3,Manager,2,Married,21682.23,1,No,12,3.0,4,,1,,2,2.0,10,,9,9,1976,Yes,100071.84
300,No,non-travel,1032.49,Unknown,22,Bachelor,Life Sciences,301,2,Female,,4,3,Manager,2,Divorced,21682.23,7,No,18,,2,Part Time,1,10.0,6,2.0,7,,6,2,1988,No,100071.84
301,No,travel_frequently,556.26,Sales,2,Professional Certification,,302,2,Male,,3,2,Sales executive,4,Single,11681.39,1,No,18,3.0,1,Part Time,0,,3,,10,,0,9,1994,Yes,53914.11
302,No,travel_rarely,556.26,Research & Development,20,Professional Certification,Technical Degree,303,2,Male,,3,2,Laboratory technician,4,Married,11681.39,3,No,19,,4,Part Time,1,12.0,4,3.0,10,,0,8,1968,Yes,53914.11
303,Yes,travel_rarely,601.3,Sales,45,Masters,,304,4,Male,,2,2,Sales executive,4,Single,12627.33,1,No,12,3.0,2,,0,,0,,8,,7,4,1997,Yes,58280.04
304,No,travel_rarely,556.26,Sales,7,Bachelor,Technical Degree,305,2,Male,,4,2,Sales executive,4,Unknown,11681.39,4,No,11,3.0,2,Part Time,1,10.0,3,2.0,8,,7,7,1992,Yes,53914.11
305,No,travel_frequently,253.29,Research & Development,10,Masters,Life Sciences,306,3,Female,31.66,3,1,Laboratory technician,4,Unknown,5319.17,0,No,19,3.0,1,Part Time,0,,5,3.0,8,,1,7,1980,Yes,24550.0
306,No,travel_rarely,556.26,Sales,13,Bachelor,Marketing,307,4,Male,,3,2,Sales executive,4,Unknown,11681.39,4,No,12,3.0,4,Part Time,3,13.0,3,3.0,7,,1,7,1992,Yes,53914.11
307,No,non-travel,521.55,Research & Development,2,Masters,Medical,308,1,Female,65.19,4,2,Research scientist,4,Single,10952.5,7,No,16,3.0,3,Part Time,0,,0,2.0,7,,0,7,1991,Yes,50550.0
308,No,non-travel,483.06,Sales,10,Bachelor,,309,2,Male,,2,2,Sales executive,4,Unknown,10144.33,3,No,14,3.0,3,,0,,6,2.0,7,,0,1,1990,No,46820.04
309,No,travel_frequently,542.39,Research & Development,10,Masters,Life Sciences,310,3,Female,,2,2,Laboratory technician,3,Divorced,11390.17,1,No,11,,2,Part Time,1,9.0,3,4.0,9,,0,0,1980,No,52570.0
310,Yes,travel_rarely,218.63,Research & Development,8,Masters,,311,2,Male,,1,1,Laboratory technician,1,Unknown,4591.17,1,No,11,3.0,4,,0,7.0,4,2.0,7,,0,7,1994,No,21189.96
311,No,non-travel,556.26,Sales,8,Masters,,312,2,Female,,3,2,Sales executive,2,Unknown,11681.39,1,No,18,3.0,1,Part Time,1,8.0,3,3.0,8,,0,7,1996,No,53914.11
312,No,travel_rarely,556.26,Sales,10,High School or Below,,313,4,Female,,2,2,Sales executive,2,Divorced,11681.39,1,Yes,14,3.0,1,Part Time,2,7.0,2,3.0,7,,1,7,1994,No,53914.11
313,No,non-travel,616.37,Research & Development,6,Bachelor,Medical,314,3,Male,,4,2,Research scientist,1,Divorced,12943.67,4,No,13,3.0,1,Full Time,2,13.0,2,3.0,7,,6,7,1986,No,59740.0
314,No,travel_rarely,556.26,Sales,1,Bachelor,,315,3,Male,69.53,3,2,Sales executive,3,Unknown,11681.39,1,No,17,3.0,2,Part Time,1,,3,3.0,8,,7,7,1997,Yes,53914.11
315,No,travel_rarely,290.04,Research & Development,10,Masters,Life Sciences,316,4,Female,,4,1,Laboratory technician,3,Married,6090.75,3,Yes,13,3.0,3,,1,,3,3.0,7,,1,7,1983,Yes,28111.08
316,Yes,non-travel,556.26,Sales,4,Bachelor,,317,1,Male,,3,2,Sales executive,2,Unknown,11681.39,1,No,18,3.0,3,Part Time,0,8.0,5,3.0,8,,7,7,1982,No,53914.11
317,No,travel_rarely,556.26,Sales,14,Professional Certification,,318,3,Female,,3,2,Sales executive,4,Unknown,11681.39,4,No,11,3.0,3,,1,18.0,2,2.0,7,,0,7,1972,Yes,53914.08
318,No,non-travel,313.03,Research & Development,14,Bachelor,,319,4,Female,,3,1,Laboratory technician,1,Unknown,6573.67,1,No,12,3.0,3,Full Time,1,,2,2.0,18,,12,17,1986,No,30340.0
319,No,non-travel,1363.14,Sales,6,Bachelor,Life Sciences,320,3,Female,,4,4,Sales executive,1,Married,28626.0,9,No,11,3.0,4,,3,36.0,0,2.0,7,,7,7,1967,Yes,132120.0
320,No,travel_rarely,865.84,Sales,1,Bachelor,Marketing,321,2,Male,,4,3,Sales executive,1,Married,18182.67,1,No,16,3.0,3,Part Time,1,10.0,2,3.0,10,,0,7,1982,Yes,83920.0
321,No,non-travel,556.26,Research & Development,18,Bachelor,Medical,322,3,Female,,3,2,Manufacturing director,3,Unknown,11681.39,2,No,14,3.0,3,Part Time,1,19.0,5,2.0,10,,0,8,1977,No,53914.11
322,No,non-travel,290.04,Research & Development,2,Bachelor,,323,3,Female,,3,1,Laboratory technician,4,Single,6090.75,0,No,14,3.0,3,Part Time,0,12.0,2,2.0,11,,6,7,1993,No,28111.13
323,No,travel_rarely,1032.49,Research & Development,16,Bachelor,Life Sciences,324,4,Male,129.06,3,3,Healthcare representative,3,Unknown,21682.23,4,Yes,12,3.0,3,Part Time,0,10.0,2,3.0,8,,0,0,1988,No,100071.84
324,No,travel_rarely,417.96,Sales,2,Doctor,,325,2,Female,52.25,3,2,Sales executive,4,Married,8777.17,2,No,14,3.0,1,Part Time,1,14.0,2,3.0,9,,6,7,1975,Yes,40510.0
325,No,travel_rarely,495.75,Sales,2,Bachelor,Other,326,4,Male,,3,2,Sales executive,2,Unknown,10410.83,0,No,19,3.0,2,Part Time,1,,3,4.0,8,,3,7,1978,Yes,48050.0
326,Yes,travel_frequently,282.8,Human Resources,17,Masters,Life Sciences,327,2,Female,,3,1,Human resources,3,Unknown,5938.83,0,Yes,11,3.0,2,,1,8.0,2,,7,,1,0,1997,Yes,27410.04
327,No,non-travel,556.26,Research & Development,2,Masters,Other,328,1,Female,,2,2,Healthcare representative,3,Single,11681.39,2,Yes,17,3.0,1,Part Time,0,10.0,3,3.0,8,,0,7,1982,Yes,53914.11
328,No,non-travel,550.64,Sales,21,Masters,,329,4,Male,,4,2,Sales executive,4,Single,11563.5,1,No,12,3.0,4,Part Time,0,10.0,3,3.0,10,,5,7,1989,Yes,53370.0
329,No,travel_rarely,556.26,Sales,6,Masters,Medical,330,1,Male,69.53,4,2,Sales executive,4,Divorced,11681.39,4,No,22,4.0,4,Part Time,2,13.0,4,4.0,7,,5,7,1992,Yes,53914.11
330,No,travel_frequently,556.26,Research & Development,9,Doctor,,331,4,Male,,3,2,Laboratory technician,3,Divorced,11681.39,3,No,13,3.0,2,Part Time,1,10.0,3,3.0,8,,4,7,1980,No,53914.11
331,No,non-travel,556.26,Sales,1,High School or Below,,332,4,Female,,3,2,Sales executive,1,Single,11681.39,7,No,20,4.0,4,Part Time,0,18.0,2,4.0,14,,8,10,1970,No,53914.11
332,No,travel_rarely,973.35,Research & Development,3,Bachelor,Other,333,3,Male,,3,3,Manufacturing director,3,Married,20440.33,1,No,15,,3,Part Time,1,,2,3.0,10,,7,8,1986,Yes,94340.0
333,No,non-travel,1032.49,Human Resources,19,Masters,,334,3,Male,,3,3,Human resources,2,Unknown,21682.23,2,No,15,,3,Part Time,1,16.0,1,4.0,9,,7,1,1969,Yes,100071.84
334,No,travel_rarely,556.26,Sales,7,Masters,Marketing,335,4,Female,,2,2,Sales executive,4,Unknown,11681.39,0,No,20,,1,Part Time,0,,2,3.0,7,,0,5,1985,Yes,53914.11
335,No,non-travel,290.04,Research & Development,1,Masters,Life Sciences,336,2,Male,36.25,1,1,Research scientist,4,Divorced,6090.75,1,No,18,3.0,4,Part Time,1,10.0,5,3.0,10,,2,8,1994,Yes,28111.13
336,No,non-travel,1032.49,Research & Development,9,Bachelor,Medical,337,4,Female,129.06,2,3,Healthcare representative,2,Unknown,21682.23,1,No,14,3.0,2,Part Time,0,9.0,3,4.0,8,,7,7,1989,No,100071.84
337,No,non-travel,556.26,Research & Development,2,Masters,Technical Degree,338,4,Female,,2,2,Healthcare representative,3,Single,11681.39,1,No,11,3.0,1,Part Time,0,20.0,4,3.0,20,"7,0",11,10,1984,No,53914.11
338,No,non-travel,556.73,Sales,10,Bachelor,Marketing,339,4,Male,,3,2,Sales executive,4,Unknown,11691.33,1,No,12,3.0,4,Full Time,0,10.0,2,2.0,10,,0,8,1991,Yes,53960.0
339,No,travel_rarely,556.26,Research & Development,1,Masters,Life Sciences,340,2,Female,,4,2,Healthcare representative,4,Unknown,11681.39,0,No,13,3.0,3,Part Time,0,10.0,4,,9,,1,8,1985,Yes,53914.11
340,No,travel_rarely,1032.49,Research & Development,1,Professional Certification,Life Sciences,341,3,Female,129.06,3,3,Manufacturing director,1,Married,21682.23,1,No,11,3.0,4,Part Time,0,9.0,3,3.0,9,,0,7,1996,No,100071.84
341,No,travel_rarely,1151.33,Research & Development,3,Professional Certification,Life Sciences,342,3,Female,143.92,3,3,Research director,4,Single,24177.83,3,No,15,3.0,4,Full Time,0,10.0,6,3.0,7,,7,7,1991,No,111590.0
342,No,non-travel,511.75,Sales,35,Masters,Marketing,343,4,Male,,3,2,Sales executive,1,Single,10746.67,2,No,12,3.0,4,,0,20.0,2,3.0,7,,1,7,1976,No,49599.96
343,No,travel_frequently,907.21,Research & Development,10,Professional Certification,,344,4,Male,113.4,3,3,Manufacturing director,1,Unknown,19051.5,1,No,21,4.0,3,Part Time,2,9.0,4,2.0,9,,1,7,1996,Yes,87930.0
344,No,non-travel,1979.82,Unknown,1,Bachelor,,345,4,Male,,2,5,Manager,3,Unknown,41576.17,1,No,12,,2,Full Time,1,22.0,3,3.0,22,,2,10,1982,No,191890.0
345,Yes,non-travel,228.63,Research & Development,35,Professional Certification,,346,3,Female,,1,1,Research scientist,2,Unknown,4801.33,7,Yes,13,3.0,4,Part Time,0,10.0,4,3.0,7,,3,7,1995,Yes,22160.0
346,No,non-travel,1208.48,Research & Development,8,Bachelor,,347,1,Female,,4,3,Research director,1,Married,25378.17,9,No,14,3.0,1,Full Time,1,10.0,2,3.0,8,,0,5,1987,No,117130.0
347,No,non-travel,547.24,Sales,27,Doctor,Marketing,348,3,Male,,3,2,Sales executive,4,Divorced,11492.0,7,No,23,,4,,1,10.0,2,2.0,8,,7,7,1993,Yes,53040.0
348,No,travel_rarely,1145.55,Research & Development,9,Bachelor,,349,3,Male,143.19,3,4,Healthcare representative,4,Married,24056.5,7,No,11,3.0,3,Full Time,0,30.0,1,2.0,10,,1,1,1967,No,111030.0
349,No,travel_rarely,684.25,Sales,2,Professional Certification,,350,2,Male,,1,2,Sales representative,3,Single,14369.33,0,No,13,3.0,1,Full Time,0,9.0,3,3.0,8,,3,1,1978,Yes,66320.0
350,No,non-travel,782.79,Sales,8,Masters,,351,1,Male,,2,3,Sales executive,1,Single,16438.5,1,No,15,3.0,2,Part Time,0,10.0,1,3.0,10,,0,9,1987,No,75870.0
351,No,non-travel,447.26,Research & Development,27,Bachelor,Medical,352,2,Female,,3,2,Healthcare representative,3,Married,9392.5,4,No,12,3.0,1,Part Time,1,11.0,3,2.0,8,,1,1,1994,Yes,43350.0
352,No,non-travel,616.98,Research & Development,2,Masters,Life Sciences,353,1,Female,,4,2,Manufacturing director,1,Single,12956.67,6,No,12,3.0,4,Full Time,0,17.0,2,3.0,15,,4,12,1985,Yes,59800.0
353,No,non-travel,437.87,Research & Development,13,Professional Certification,Medical,354,1,Female,,4,2,Healthcare representative,2,Unknown,9195.33,1,No,24,4.0,4,,1,8.0,2,3.0,8,,3,7,1983,Yes,42440.04
354,No,travel_frequently,1973.98,Unknown,8,Bachelor,,355,2,Male,,3,5,Manager,4,Unknown,41453.67,1,No,13,3.0,2,,1,24.0,4,2.0,24,,14,9,1981,Yes,191324.63999999998
355,No,travel_rarely,539.4,Research & Development,1,Bachelor,Other,356,3,Female,,3,2,Manufacturing director,2,Unknown,11327.33,0,No,15,3.0,1,Part Time,1,,2,3.0,9,,0,5,1987,No,52280.0
356,No,travel_rarely,278.57,Research & Development,23,Professional Certification,,357,3,Male,,4,1,Research scientist,3,Married,5850.0,1,No,24,4.0,3,Part Time,1,10.0,3,3.0,10,,0,7,1994,Yes,27000.0
357,Yes,non-travel,556.26,Sales,2,High School or Below,Medical,358,3,Male,69.53,3,2,Sales executive,4,Single,11681.39,4,No,16,3.0,3,Part Time,0,,3,2.0,9,,7,3,1968,No,53914.11
358,No,non-travel,556.26,Sales,2,Masters,,359,2,Female,,3,2,Sales executive,2,Unknown,11681.39,1,No,20,4.0,1,Part Time,0,8.0,2,3.0,8,,7,5,1995,Yes,53914.11
359,Yes,non-travel,244.11,Research & Development,5,Professional Certification,Medical,360,3,Female,,2,1,Research scientist,3,Married,5126.33,1,No,14,3.0,1,Part Time,1,8.0,2,3.0,8,,1,7,1997,Yes,23660.0
360,No,non-travel,290.04,Research & Development,9,Professional Certification,,361,2,Male,,3,1,Research scientist,1,Unknown,6090.75,1,Yes,13,3.0,4,,0,8.0,0,3.0,8,,7,1,1979,Yes,28111.08
361,Yes,non-travel,290.04,Research & Development,2,Masters,Life Sciences,362,2,Female,,1,1,Laboratory technician,4,Divorced,6090.75,4,Yes,13,3.0,3,,1,,1,2.0,7,,1,0,1982,Yes,28111.08
362,No,travel_rarely,240.29,Sales,7,Masters,,363,2,Male,,2,1,Sales representative,3,Unknown,5046.17,3,No,15,,2,Part Time,0,,2,4.0,7,,5,2,1992,No,23290.0
363,No,travel_frequently,443.03,Sales,28,Bachelor,Medical,364,2,Male,,2,2,Sales executive,1,Unknown,9303.67,1,No,12,3.0,2,Part Time,0,,2,3.0,7,,0,7,1997,Yes,42940.0
364,No,non-travel,556.26,Research & Development,12,Bachelor,Medical,365,4,Female,,3,2,Healthcare representative,4,Unknown,11681.39,0,No,11,3.0,3,Part Time,2,10.0,2,1.0,9,,8,5,1992,No,53914.11
365,No,non-travel,693.85,Research & Development,3,Masters,Medical,366,3,Female,,3,2,Manufacturing director,1,Married,14570.83,1,No,12,3.0,3,Full Time,1,8.0,2,4.0,8,,6,3,1991,No,67250.0
366,Yes,travel_rarely,1065.28,Sales,3,High School or Below,Life Sciences,367,3,Male,,2,3,Sales executive,4,Married,22370.83,1,No,11,,1,Full Time,1,,6,3.0,16,,3,7,1987,No,103250.0
367,No,non-travel,458.82,Research & Development,47,Professional Certification,,368,4,Male,,3,2,Laboratory technician,2,Unknown,9635.17,1,No,12,3.0,2,Part Time,0,,5,2.0,9,,0,8,1978,Yes,44470.0
368,No,travel_rarely,1032.49,Sales,2,Doctor,,369,1,Male,129.06,4,3,Sales executive,3,Single,21682.23,0,No,18,3.0,4,Part Time,0,9.0,3,3.0,8,,0,7,1984,No,100071.84
369,No,non-travel,556.26,Sales,8,Masters,Technical Degree,370,1,Male,,3,2,Sales executive,4,Divorced,11681.39,4,No,13,,4,Part Time,2,12.0,3,3.0,7,,0,7,1987,Yes,53914.11
370,No,non-travel,1118.93,Research & Development,7,Professional Certification,Medical,371,4,Male,139.87,3,3,Manufacturing director,3,Unknown,23497.5,6,No,13,3.0,2,Full Time,1,,3,3.0,8,,0,7,1977,No,108450.0
371,No,travel_rarely,1032.49,Research & Development,17,Bachelor,Technical Degree,372,3,Female,,3,3,Manufacturing director,3,Unknown,21682.23,8,No,11,,3,Part Time,1,22.0,2,3.0,10,,0,8,1969,Yes,100071.84
372,No,travel_rarely,1032.49,Research & Development,8,Professional Certification,,373,2,Female,,4,3,Research director,1,Unknown,21682.23,0,Yes,12,3.0,3,Part Time,3,,4,2.0,8,,1,7,1993,Yes,100071.84
373,No,non-travel,564.57,Research & Development,2,Professional Certification,Medical,374,4,Male,70.57,4,2,Manufacturing director,4,Married,11856.0,1,No,12,3.0,2,Full Time,0,,2,3.0,8,,1,3,1997,No,54720.0
374,No,travel_frequently,658.77,Research & Development,18,Masters,Medical,375,3,Male,,3,2,Healthcare representative,2,Married,13834.17,3,No,14,3.0,4,Full Time,2,,3,3.0,8,,6,7,1968,Yes,63850.0
375,No,non-travel,654.85,Sales,1,Bachelor,Life Sciences,376,4,Female,,3,2,Sales executive,3,Married,13751.83,0,No,12,3.0,1,Full Time,1,,3,3.0,18,,0,13,1973,Yes,63470.0
376,No,non-travel,290.04,Research & Development,29,Masters,,377,4,Female,,3,1,Laboratory technician,3,Single,6090.75,9,No,12,3.0,2,Part Time,0,10.0,2,3.0,8,,7,7,1991,Yes,28111.13
377,No,travel_frequently,776.39,Sales,2,Bachelor,Marketing,378,3,Female,97.05,2,3,Sales executive,2,Unknown,16304.17,2,No,12,3.0,1,Part Time,1,30.0,2,,15,,6,12,1970,Yes,75250.0
378,No,travel_rarely,556.26,Sales,26,Bachelor,,379,3,Male,,3,2,Sales executive,1,Married,11681.39,1,No,14,3.0,2,Part Time,1,8.0,3,2.0,7,,7,5,1983,No,53914.11
379,No,non-travel,1582.77,Unknown,2,High School or Below,,380,3,Male,,2,4,Manager,1,Single,33238.2,7,No,15,3.0,2,,0,,3,4.0,9,,6,2,1968,Yes,153407.04
380,Yes,non-travel,1032.49,Research & Development,24,Professional Certification,,381,2,Male,,2,3,Healthcare representative,1,Single,21682.23,1,No,12,3.0,1,Part Time,0,10.0,2,2.0,10,,1,9,1995,No,100071.84
381,No,travel_rarely,377.62,Research & Development,10,Bachelor,Other,382,3,Female,,3,2,Research scientist,3,Single,7930.0,3,No,13,3.0,4,,0,,4,4.0,8,,1,7,1995,Yes,36600.0
382,Yes,non-travel,1032.49,Sales,4,Bachelor,Technical Degree,383,4,Male,,3,3,Sales executive,1,Unknown,21682.23,0,No,22,4.0,1,Part Time,0,9.0,2,3.0,8,,4,7,1988,Yes,100071.84
383,Yes,travel_frequently,556.26,Research & Development,36,Masters,Medical,384,3,Female,69.53,2,2,Research scientist,3,Single,11681.39,1,No,22,4.0,2,Part Time,0,14.0,4,3.0,13,,3,8,1990,Yes,53914.11
384,Yes,non-travel,290.04,Research & Development,4,High School or Below,Technical Degree,385,4,Male,,3,1,Laboratory technician,4,Married,6090.75,1,No,15,,2,Part Time,1,7.0,3,4.0,7,,5,6,1998,Yes,28111.13
385,No,non-travel,901.75,Sales,10,Masters,,386,3,Male,,2,3,Sales executive,3,Unknown,18936.67,0,Yes,14,3.0,2,Part Time,2,9.0,2,,8,,2,7,1985,Yes,87400.0
386,No,non-travel,1032.49,Research & Development,12,Bachelor,,387,1,Female,,3,3,Manufacturing director,2,Unknown,21682.23,0,No,17,3.0,2,Part Time,3,,3,2.0,9,,1,7,1995,Yes,100071.84
387,No,travel_frequently,1032.49,Research & Development,27,Bachelor,Life Sciences,388,3,Female,129.06,3,3,Manufacturing director,1,Married,21682.23,8,No,11,3.0,3,Part Time,1,18.0,1,3.0,8,,0,1,1980,No,100071.84
388,Yes,travel_frequently,1582.77,Research & Development,2,Bachelor,Life Sciences,389,1,Male,197.85,3,4,Healthcare representative,4,Unknown,33238.2,7,No,11,3.0,4,Full Time,3,21.0,4,3.0,18,,11,5,1984,No,153407.07
389,No,travel_rarely,1973.98,Research & Development,14,Bachelor,,390,3,Male,,2,5,Research director,3,Unknown,41453.67,1,No,14,,1,Full Time,0,,2,,20,,4,9,1983,Yes,191324.62
390,No,travel_rarely,556.26,Research & Development,8,High School or Below,Medical,391,2,Male,,2,2,Manufacturing director,4,Married,11681.39,1,No,15,3.0,3,,1,10.0,2,2.0,10,,1,2,1994,Yes,53914.08
391,No,non-travel,1392.75,Research & Development,32,Masters,,392,2,Female,,3,3,Research director,3,Unknown,29247.83,9,No,17,3.0,3,Full Time,0,20.0,3,2.0,18,,2,13,1983,No,134990.0
392,No,travel_rarely,290.04,Research & Development,3,Masters,,393,1,Male,,4,1,Laboratory technician,4,Unknown,6090.75,1,No,22,4.0,2,Part Time,1,8.0,2,3.0,8,,0,7,1997,Yes,28111.13
393,No,travel_rarely,1032.49,Research & Development,2,Bachelor,,394,3,Male,,2,3,Manufacturing director,2,Divorced,21682.23,2,No,18,3.0,2,,1,15.0,2,4.0,7,,6,4,1988,Yes,100071.84
394,No,non-travel,1973.98,Research & Development,7,Professional Certification,Medical,395,4,Female,,3,5,Manager,3,Divorced,41453.67,3,No,18,3.0,2,Full Time,1,26.0,6,3.0,7,,4,7,1970,No,191324.62
395,No,non-travel,556.26,Sales,17,Masters,Life Sciences,396,3,Male,,3,2,Sales executive,1,Unknown,11681.39,3,No,15,3.0,4,Part Time,3,15.0,2,3.0,7,,1,7,1988,Yes,53914.11
396,No,non-travel,556.26,Sales,25,Bachelor,Medical,397,2,Female,,3,2,Sales executive,3,Unknown,11681.39,1,No,12,3.0,1,Part Time,1,,3,2.0,10,,0,1,1990,Yes,53914.11
397,No,non-travel,290.04,Research & Development,6,Masters,Life Sciences,398,3,Male,,1,1,Laboratory technician,3,Divorced,6090.75,1,No,14,3.0,3,Part Time,1,,4,3.0,7,,1,7,1987,Yes,28111.13
398,No,travel_rarely,360.18,Research & Development,7,Masters,Life Sciences,399,3,Male,45.02,3,2,Laboratory technician,3,Divorced,7563.83,1,No,13,,1,Part Time,3,,4,2.0,10,,8,9,1993,Yes,34910.0
399,No,non-travel,538.57,Sales,29,Masters,,400,2,Male,,4,2,Sales executive,4,Divorced,11310.0,0,No,18,3.0,2,,1,12.0,3,3.0,11,,1,9,1963,Yes,52200.0
400,No,non-travel,556.26,Research & Development,2,Professional Certification,Life Sciences,401,4,Female,69.53,3,2,Research scientist,3,Single,11681.39,4,Yes,14,3.0,4,Part Time,0,10.0,2,3.0,8,,0,7,1991,No,53914.11
401,No,non-travel,1057.75,Research & Development,1,Bachelor,Technical Degree,402,3,Female,,1,3,Manufacturing director,1,Divorced,22212.67,2,Yes,21,4.0,3,Full Time,1,17.0,2,3.0,7,,7,7,1987,Yes,102520.0
402,No,travel_rarely,290.04,Research & Development,14,Bachelor,,403,1,Male,,3,1,Research scientist,1,Unknown,6090.75,1,No,14,3.0,4,,2,,3,2.0,9,,6,8,1996,Yes,28111.08
403,No,non-travel,2036.67,Research & Development,3,Bachelor,Life Sciences,404,3,Male,,1,5,Research director,4,Unknown,42770.0,3,No,14,3.0,2,Full Time,1,,2,3.0,8,,0,7,1980,Yes,197400.0
404,No,travel_rarely,1582.77,Research & Development,1,Bachelor,,405,4,Female,,2,4,Research director,4,Divorced,33238.2,3,No,14,3.0,2,Full Time,2,9.0,2,2.0,7,,1,7,1994,Yes,153407.07
405,No,non-travel,1032.49,Research & Development,24,Masters,,406,2,Male,,3,3,Manufacturing director,4,Single,21682.23,6,No,12,3.0,4,Part Time,0,,6,2.0,9,,5,4,1964,No,100071.84
406,No,travel_rarely,1032.49,Sales,4,Masters,Marketing,407,4,Female,,2,3,Sales executive,4,Single,21682.23,3,No,14,3.0,4,Part Time,0,23.0,3,4.0,21,,15,17,1980,Yes,100071.84
407,Yes,travel_rarely,1032.49,Research & Development,15,Bachelor,Medical,408,1,Female,129.06,3,3,Healthcare representative,4,Married,21682.23,1,No,11,3.0,4,Part Time,1,,2,3.0,10,,0,5,1979,Yes,100071.84
408,Yes,non-travel,290.04,Research & Development,7,Bachelor,Technical Degree,409,2,Female,,3,1,Laboratory technician,3,Divorced,6090.75,3,Yes,13,3.0,1,,2,10.0,2,3.0,7,,7,7,1994,Yes,28111.08
409,No,travel_rarely,640.61,Sales,8,Bachelor,,410,3,Male,,4,2,Sales executive,4,Married,13452.83,1,No,15,3.0,3,Full Time,2,,4,4.0,10,,0,8,1991,No,62090.0
410,No,travel_rarely,731.92,Research & Development,10,Masters,Technical Degree,411,4,Female,,3,3,Healthcare representative,3,Married,15370.33,3,No,12,3.0,1,Part Time,0,,0,3.0,7,,1,7,1987,Yes,70940.0
411,Yes,non-travel,1032.49,Sales,5,Bachelor,,412,2,Male,,3,3,Sales executive,2,Single,21682.23,9,Yes,19,3.0,3,Part Time,0,,2,2.0,8,,7,7,1971,Yes,100071.84
412,No,travel_rarely,467.79,Research & Development,33,Professional Certification,,413,1,Male,,3,2,Manufacturing director,3,Single,9823.67,0,No,11,3.0,1,,0,,6,,8,,1,7,1984,Yes,45340.0
413,No,non-travel,876.98,Research & Development,9,Bachelor,,414,4,Male,,3,3,Healthcare representative,4,Unknown,18416.67,0,No,11,,4,Part Time,1,10.0,0,2.0,9,,1,6,1989,Yes,85000.0
414,No,non-travel,556.26,Sales,2,Professional Certification,Life Sciences,415,2,Female,,3,2,Sales executive,1,Unknown,11681.39,3,No,15,3.0,4,,1,11.0,3,3.0,7,,1,7,1985,Yes,53914.11
415,No,travel_frequently,478.63,Sales,12,Bachelor,Marketing,416,1,Female,,4,2,Sales executive,1,Married,10051.17,2,No,16,3.0,4,Part Time,1,,2,2.0,15,,6,13,1987,Yes,46390.0
416,No,non-travel,553.33,Research & Development,1,Bachelor,,417,4,Female,,2,2,Laboratory technician,4,Unknown,11619.83,0,No,12,3.0,2,Part Time,1,10.0,0,3.0,9,,0,0,1988,No,53630.0
417,Yes,non-travel,1582.77,Sales,13,Masters,,418,1,Male,,4,4,Sales executive,3,Unknown,33238.2,6,No,17,3.0,3,Full Time,0,,2,2.0,19,,3,8,1968,Yes,153407.07
418,No,non-travel,556.26,Research & Development,29,Bachelor,,419,2,Male,,3,2,Laboratory technician,3,Unknown,11681.39,4,No,13,3.0,1,Part Time,2,10.0,1,3.0,8,,7,7,1989,No,53914.11
